### ParaTranz ###
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_HL_121;ゴールドは貴族の証です！;;;;;;;;;;;;x
abandon_province;プロヴィンスを放棄;;;;;;;;;;;;x
abandon_province_desc;この土地を放棄し、もっと豊な土地へ移動する時だ;;;;;;;;;;;;x
nomads_exploited_land;遊牧民が土地を開拓した;;;;;;;;;;;;x
nomad_population_boom;人口急増;;;;;;;;;;;;x
nomad_population_boom_spillover;過剰な人口増加;;;;;;;;;;;;x
PROVINCE_ABANDONED_TOOLTIP;州を放棄し、隣人の土地を一つ頂くとしよう;;;;;;;;;;;;x
ANY_SETTLEMENT;任意の地区;;;;;;;;;;;;x
CB_NAME_INSTALLKHAN;カガンを擁立;;;;;;;;;;;;x
cb_install_khan_desc;一族はカガンを罷免し、より力のあるものに替えることができます。;;;;;;;;;;;;x
elephant_trample_tactic;戦象蹂躙戦術;;;;;;;;;;;;x
INTERACTION_NOT_ALREADY_ENEMIES;敵対していない;;;;;;;;;;;;x
CLAN_SAME_FAITH;同じ信仰;;;;;;;;;;;;x
DOES_NOT_RISK_MINOR_CLAN_RISING;下級氏族が蜂起する危険がない;;;;;;;;;;;;x
RISKS_MINOR_CLAN_RISING;下級氏族が蜂起する危険がある;;;;;;;;;;;;x
nomad_expansion_desc;十分な威信を持っているならば、一回の戦争で大規模な外国の土地を征服することができます;;;;;;;;;;;;x
CB_NAME_NOMAD_EXPANSION;[Title.GetBaseName]の服従;;;;;;;;;;;;x
WAR_NAME_NOMAD_EXPANSION;$FIRST_ADJ$による$ORDER$$OTHER_TITLE$戦争;;;;;;;;;;;;x
CLAN_SIZE;§Y$氏族の最大数§!;;;;;;;;;;;;x
CLAN_SIZE_DESC;The maximum number of Clans is determined by the size of the realm. Having too many clans will negatively affect the §YClan Sentiment§! of all vassal clans towards their liege. There is also an absolute maximum of §Y$MAX$§! Clans, at which point you can no longer use the §YSplit Clan§! interaction and any subjugated §YNomad§! will become a §YTribal§! ruler instead.;;;;;;;;;;;;x
succ_nomad_succession;遊牧民相続制;;;;;;;;;;;;x
recent_county_uprising;最近の蜂起;;;;;;;;;;;;x
prisoner_to_oubilette;土牢に放り込む;;;;;;;;;;;;x
prisoner_to_oubilette_desc;§Y[Root.GetTitledFirstName]§!は地下牢中でも一番深い穴ぐらへ放り込まれ、全てから忘却された。土牢からは逃げることはできない！（[Root.GetPossPronounCap]の余命はそう長くはないだろう…);;;;;;;;;;;;x
prisoner_to_dungeon;地下牢の個室へ移す;;;;;;;;;;;;x
prisoner_to_dungeon_desc;§Y[Root.GetTitledFirstName]§!は地下牢の小部屋へと移します。[Root.GetSubjectPronoun]は簡単に脱出することはできないだろうが、平均的な寿命は全うできるでしょう。;;;;;;;;;;;;x
prisoner_to_suite;軟禁する;;;;;;;;;;;;x
prisoner_to_suite_desc;§Y[Root.GetTitledFirstName]§!は警備された特別室へ移します。脱出される危険も高いですが、[Root.GetSubjectPronoun]は何も望まない限り長生きすることができるでしょう。;;;;;;;;;;;;x
MODIFIER_ADDED_NO_END;§Y$WHERE$§!は「§Y$WHAT$§!」を取得し、以下の効果を与える:\n$EFFECT$\n\n;;;;;;;;;;;;x
NOMAD_LAND_OVERRUN;§Y氏族の領地を要求§!;;;;;;;;;;;;x
NOMAD_LAND_OVERRUN_DESC;ハンは他の氏族よりあまりにも多くの領地を保有しています。§Y$NUM$§!の州を分け与えるか、そうでなければ氏族の蜂起に直面するかもしれません。さらには主要氏族の正当な地位を獲得しようと、下級氏族が蜂起する可能性があります。;;;;;;;;;;;;x
SENTIMENT_VS_CLAN;§Y$CLAN$§!に対する感情:;;;;;;;;;;;;x
EMPTY_PROVINCES_IN_REALM;領地内の遊牧民州;;;;;;;;;;;;x
REVOKE_TITLE_INTERACTION_1N;威信を§R$PRESTIGE$§!消費して§Y[ThirdPartyTitle.GetFullName]§!を剥奪します。これにより§Y[Recipient.GetTitledFirstName]§!のこちらへの評価が§R$OPINION$§!低下し、さらに他の遊牧民でない家臣の評価も§R$OPINION2$§!低下します。;;;;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_LONG_DESC;追放は命こそ助かるかもしれませんが、退位を余儀なくされ、富も没収されます。;;;;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_2;正当な理由なく家臣を追放することは専制的と見られ、他の家臣たちがあなたへと抱く評価が§R$OPINION$§!低下します。;;;;;;;;;;;;x
declare_feud_desc;他の氏族に確執を宣言します。宣戦布告をすることができるようになります。（カガンではない場合、家臣である氏族を略奪したり、宣戦布告することは決して許されません）;;;;;;;;;;;;x
SETTLE_FEUD_INTERACTION_DESC;[Recipient.Clan.GetName]との確執を解消します。これは§R$COST$§!¤の費用が掛かります。;;;;;;;;;;;;x
SETTLE_FEUD_INTERACTION_LONG_DESC;[Recipient.Clan.GetName]と和解するために多額の血塗られた金を払います...;;;;;;;;;;;;x
ABSORB_CLAN_INTERACTION_DESC;§Y[Recipient.Clan.GetName]§!族を吸収します。氏族が多すぎる場合に有用です。;;;;;;;;;;;;x
ABSORB_CLAN_INTERACTION_LONG_DESC;氏族の吸収は好まれるものではありませんが、氏族の数が多い場合は必要になるかもしれません。;;;;;;;;;;;;x
FORM_BLOOD_OATH_INTERACTION_DESC;§Y[Recipient.Clan.GetName]§!族と血の盟約を誓うことで、両方の支配者が生きている間に限り、堅実な同盟者となります。しかし血の盟友は一つしか持てません。;;;;;;;;;;;;x
FORM_BLOOD_OATH_INTERACTION_LONG_DESC;他の氏族と血の盟約を誓うことで、両方の支配者が生きている間に限り、堅実な同盟者となります。しかし血の盟友は一つしか持てません。;;;;;;;;;;;;x
adopt_faith_desc;[Root.Clan.GetName]氏族の信仰を採用します。[Root.Religion.GetName]には利点があります...;;;;;;;;;;;;x
GOV_PRESTIGE_LAW_CHANGE_DESC;法改正は投票ではなく、威信を消費して行う;;;;;;;;;;;;x
LAW_NORMAL_CHANGE_PIETY_COST;$GOV$では直轄領の法改正に$PIETY$の$PIETYNAME$を消費します。;;;;;;;;;;;;x
LAW_DE_JURE_CHANGE_PIETY_COST;$GOV$では国主法改正に$PIETY$の$PIETYNAME$を消費します。;;;;;;;;;;;;x
LAW_NORMAL_CHANGE_PRESTIGE_COST;$GOV$では直轄領の法改正に$PRESTIGE$の威信を消費します。;;;;;;;;;;;;x
LAW_DE_JURE_CHANGE_PRESTIGE_COST;$GOV$では国主法改正に$PRESTIGE$の威信を消費します。;;;;;;;;;;;;x
NO_TEMPLE_HOLDING;教区なし;;;;;;;;;;;;x
clan_opinion_splitted_blood_brother_clan;私の血の盟友を分割;;;;;;;;;;;;x
clan_opinion_splitted_my_clan;私の氏族を分割;;;;;;;;;;;;x
clan_opinion_attempted_splitted_my_clan;私の氏族を分割しようとした;;;;;;;;;;;;x
PROVINCE_NOT_UNDER_SIEGE;§Y$PROVINCE$§!は包囲下ではない;;;;;;;;;;;;x
ABSORB_CLAN_INTERACTION_4;他の家臣氏族は、反逆氏族の吸収に反対しません。;;;;;;;;;;;;x
TECHPOINTS_FROM_BUILDINGS;建物から: §Y$AMOUNT$§!\n;;;;;;;;;;;;x
RULER_HAS_MOVED_CAPITAL_RECENTLY_NOMAD;§Y[GetTitledFirstName]§!は$MONTHS$ヶ月間、首都を移動することはできません。;;;;;;;;;;;;x
MANPOWER_BREAKDOWN;現在の人的資源の内訳;;;;;;;;;;;;x
LIEGE_LEVY_DESC_OWNS;§Y$VASSAL$§!は合計で§Y$NUM$§!の兵力を所有している\n;;;;;;;;;;;;x
LIEGE_LEVY_DESC_OWNS_DEPLETION;§Y$VASSAL$§!は現在、兵力が枯渇しているため§Y$NUM$§!だけ動員できる\n;;;;;;;;;;;;x
TRIBAL_VASSAL_CALL_TO_ARMS_BUTTON_NO_WAR;§Y$VASSAL$§! ( §Y$MEN$§!人 );;;;;;;;;;;;x
ALLIES_POTENTIAL;潜在的な軍事同盟国;;;;;;;;;;;;x
SUZERAIN_OF;§Y$OTHER$§!の宗主国である;;;;;;;;;;;;x
SET_SPECIAL_TITLE_DESC;§Y$CHARACTER$§!は称号§Y$TITLE$§!を獲得\n;;;;;;;;;;;;x
REMOVE_SPECIAL_TITLE_DESC;§Y$CHARACTER$§!は称号§Y$TITLE$§!を失う\n;;;;;;;;;;;;x
BOY;少年;;;;;;;;;;;;x
employ_soldier;指揮官に昇格させる;;;;;;;;;;;;x
employ_soldier_desc;戦場にてあなたの軍の指揮を任せるために兵士を昇格させます。;;;;;;;;;;;;x
ISNT_COUNTY_CAPITAL;州都ではない;;;;;;;;;;;;x
IS_COUNTY_CAPITAL;州都である;;;;;;;;;;;;x
tocharian;トハラ;;;;;;;;;;;;x
no_horse_breeder_desc;草原地帯では敏速で丈夫な馬が常に求められています。;;;;;;;;;;;;x
TERRAIN_IS;地形;;;;;;;;;;;;x
HORDE_RETTYPE_INDIAN;戦象;;;;;;;;;;;;x
HORDE_RETTYPE_DESERT;駱駝騎兵;;;;;;;;;;;;x
HOLYSITE_UNBUILT;§Y$SITENAME$§!の聖地は教区が不足している;;;;;;;;;;;;x
CALL_ALLY_BLOOD_BROTHERS;\n§Y血の盟友であるため、拒否できません。§!;;;;;;;;;;;;x
